baseMean,log2FoldChange,lfcSE,pvalue,padj,Symbol
304.8474797,-0.147555327,0.152209648,0.281462745,0.489369229,NDUFS1
87.03359704,0.192660139,0.232601818,0.281633669,0.489377604,REPS2
17.66728099,0.175239379,0.34962584,0.281556062,0.489377604,MIAT
141.3665591,-0.158372999,0.168906528,0.281611732,0.489377604,AP1G2-AS1
31.56831566,0.202053663,0.317562421,0.28158537,0.489377604,BBOX1-AS1
149.5313232,0.169462513,0.18541772,0.281605695,0.489377604,FGFBP3
11.66473965,0.10992674,0.358727432,0.281571267,0.489377604,ADCY8
16.85978382,0.157570624,0.358177588,0.281683337,0.4894158,LINC02456
6.35249823,0.11025351,0.359077983,0.28174206,0.489445643,LOC101929347
6.971820733,-0.087491563,0.357240602,0.281783578,0.489445643,LOC105375153
378.5862606,-0.122938462,0.119913389,0.281777853,0.489445643,SNORC
27.08777095,0.180342488,0.350566239,0.281819658,0.489460217,SPON1
8.255708936,-0.13660659,0.359304867,0.281860598,0.489483229,LOC105377872
975.9153874,0.082418996,0.078098492,0.281891877,0.489489461,ZZEF1
25.33600253,0.194833101,0.33365499,0.281923904,0.48949699,LOC105376076
10.71517352,-0.144859594,0.359935982,0.281953042,0.489499502,FOXO1B
41.47155352,0.202679256,0.316895329,0.282090794,0.489690559,LOC105377730
53.63408038,0.201021527,0.253993804,0.282205333,0.489841288,NMI
140.7243428,-0.162633915,0.173804992,0.282293432,0.489897996,RTL6
317.2154265,-0.124210844,0.124620681,0.282280247,0.489897996,KCTD13
35.1603066,-0.207085739,0.298437248,0.282395961,0.49002782,C3orf38
47.2222346,-0.198631975,0.256296404,0.282688502,0.490467119,DENND5B-AS1
7.868350868,0.101561689,0.358238587,0.282718511,0.490467119,OR9Q1
19.69070723,-0.189422162,0.338201044,0.282732361,0.490467119,LOC101928237
46.72005081,-0.202618199,0.281044671,0.282900978,0.490711469,GPR176
5.906825233,-0.116589569,0.359517884,0.282942232,0.490734874,UBE2L5
879.9351748,-0.147628857,0.150666616,0.283044164,0.490863504,GPC6
33.46967754,0.144218672,0.359823667,0.283178423,0.491048164,CADPS
37.57757431,0.201386809,0.311934757,0.28326742,0.49115431,TRIM29
53.16754305,0.203995056,0.263468814,0.283388874,0.491268523,NDUFAF8
325.7153706,-0.133777541,0.135338215,0.283378162,0.491268523,ARPC1A
35.32388026,0.203260416,0.297045296,0.283451994,0.491329761,DOLK
67.20334093,0.199690859,0.350743019,0.283485405,0.491339495,ADGRV1
11.9487908,0.173661717,0.35444244,0.283743002,0.491705058,LOC728158
42.85380904,0.203779349,0.28587694,0.283751954,0.491705058,HOXA13
7.691749858,0.120619633,0.359147152,0.283823741,0.491779282,SSTR5
23.47742176,0.193194033,0.330882888,0.283850428,0.491779282,ZNF214
8.009960555,0.144099712,0.359558668,0.283934471,0.49187668,DDC-AS1
43.7010994,0.203525494,0.268718833,0.284191468,0.492273648,C18orf32
176.1933047,-0.149834007,0.156471262,0.284224976,0.492283452,MTMR9
381.0997505,0.110600869,0.109085085,0.284253265,0.492284214,ATF7IP
6.051159605,0.127011472,0.360542658,0.284327248,0.492364104,ZNF736
7.905770832,0.140204253,0.360107526,0.284480948,0.492582008,ZNF506
6.546858822,0.128993912,0.360967184,0.284523927,0.492608174,LOC100420114
118.7212495,0.16878351,0.188789273,0.284574117,0.492646819,YIF1A
72.1046508,-0.189222866,0.225649431,0.284680687,0.49278305,EAF1
21.57049237,0.193822229,0.332226036,0.284754893,0.492863237,PLAC8
24.97648217,0.197616763,0.327362219,0.284859725,0.492996413,SMIM39
30.34106358,0.202815521,0.306319544,0.284937677,0.493081484,PPP1R11
24.29895864,0.190223257,0.336195004,0.284965979,0.493081484,LOC107986482
8.988878144,0.121618908,0.360207968,0.284992562,0.493081484,LOC105374039
305.0293041,-0.127275846,0.131702667,0.285023955,0.493087537,NBDY
11.51499252,-0.148055621,0.35579028,0.285160741,0.493190353,LOC105372663
9.409792233,-0.154202567,0.357237919,0.285194987,0.493190353,S1PR2
211.251178,-0.150876339,0.158329947,0.285131238,0.493190353,ITGA5
48.73606283,0.202977176,0.292549125,0.285174452,0.493190353,LOC101929418
12.03018403,-0.160765264,0.355034748,0.285333687,0.493290605,EPB41L4A-AS1
148.2880621,0.160141351,0.174340473,0.285332405,0.493290605,GAB1
96.55383545,-0.185617094,0.218515668,0.285336677,0.493290605,C1D
40.07535164,0.202019556,0.274594364,0.285365605,0.493292373,CDH24
200.4555126,0.144514569,0.154166003,0.285578466,0.49361206,E2F4
15.20007679,0.173054516,0.351969571,0.285606759,0.493612698,LOC613038
17.61914195,0.099677615,0.357364811,0.285679978,0.493647605,LOC101927026
8.849569467,0.131269603,0.359399025,0.285682808,0.493647605,LOC101928419
386.101995,-0.124040272,0.126121082,0.2857175,0.493659295,CDC123
12.99051917,0.162797206,0.356322872,0.285764782,0.493692734,MMP2
50.27490533,-0.202299675,0.277173239,0.285818618,0.493737488,HERC5
5.763804041,0.117696159,0.358966183,0.285924172,0.49374925,LOC105373066
146.0492433,-0.155571969,0.166238212,0.285937638,0.49374925,NELFCD
14.93852289,0.162297626,0.354685169,0.286015078,0.49374925,CCDC184
9.450549453,0.102334671,0.358019065,0.285862672,0.49374925,ITGA8
73.01091267,-0.189672245,0.232968323,0.286094822,0.49374925,ISCA1
109.0969852,-0.177124164,0.200656423,0.286075758,0.49374925,MLXIPL
17.49437201,-0.181445234,0.343337986,0.286104744,0.49374925,LOC100270746
24.5117041,0.189536638,0.336764801,0.286098996,0.49374925,LOC101928004
19.92884015,0.173692486,0.351397431,0.286020716,0.49374925,CDH10
217.52988,0.142778846,0.147706901,0.285971397,0.49374925,SF3B6
21.76912671,0.192711486,0.332942968,0.286143533,0.493767984,LOC107986109
7.287639069,0.132491649,0.358735503,0.286265147,0.493929624,GPR176-DT
21.02121621,-0.190250007,0.334349795,0.286298832,0.493939533,CTRL
53.21146142,-0.109420752,0.35858112,0.286461464,0.494123664,ANXA2P2
111.2205194,-0.174776752,0.197586471,0.286457348,0.494123664,MRPS36
11.30378698,0.116959228,0.359627734,0.286513335,0.494164916,CLNK
