gene_set,track,segment,bin,mean,ci_low,ci_high,n_genes
expressed,"H4, DMSO 24 h",TSS_pm400,63,2.8428560888660814,2.075186347117914,3.5914396260080057,56
expressed,"H4, DMSO 24 h",TSS_pm400,64,2.844918381742069,2.0885931125323163,3.5696265054281278,56
expressed,"H4, DMSO 24 h",TSS_pm400,65,2.7214384303029093,1.9638088704406156,3.450440046010274,56
expressed,"H4, DMSO 24 h",TSS_pm400,66,2.637375228452896,1.88723226185755,3.3778765637733574,56
expressed,"H4, DMSO 24 h",TSS_pm400,67,2.5993831402888254,1.8695152360370517,3.343732885857378,56
expressed,"H4, DMSO 24 h",TSS_pm400,68,2.6925569643576943,1.9705613476131114,3.4097416833797025,56
expressed,"H4, DMSO 24 h",TSS_pm400,69,2.64111524535229,1.9505856378901065,3.3406770610710486,56
expressed,"H4, DMSO 24 h",TSS_pm400,70,2.5077210250177555,1.8392836851919339,3.16661952553317,56
expressed,"H4, DMSO 24 h",TSS_pm400,71,2.460480497192059,1.8014393082167954,3.134514932086958,56
expressed,"H4, DMSO 24 h",TSS_pm400,72,2.4395320586327998,1.8029597721767745,3.0766413297703754,56
